File;Device_ID;season;diel;habitat;cluster;technophony;geophony;anthropophony;biophony;waterbirds;birdsong;other;avian;insect;amphibian;dominance
2025-03-28T22_44_30.362Z;6174ecbe;spring;night;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;technophony
2025-04-08T19_12_52.147Z;6174ecbe;spring;dusk;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-04-19T19_58_05.550Z;6174ecbe;spring;dusk;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-04-24T20_28_14.126Z;6174ecbe;spring;dusk;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-04-27T03_29_12.864Z;6174ecbe;spring;dawn;Scrubland;AWD;self-noise;0;0;songbirds, cuckoo;0;1;0;1;0;0;biophony
2025-05-06T18_29_25.188Z;6174ecbe;spring;day;Scrubland;AWD;self-noise;wind;0;songbirds;0;1;0;1;0;0;geophony
2025-05-13T01_37_56.472Z;6174ecbe;spring;night;Scrubland;AWD;self-noise;wind;0;cuckoo;0;1;0;0;0;0;technophony
2025-05-14T09_23_14.112Z;6174ecbe;spring;day;Scrubland;AWD;self-noise;wind, reed;0;songbirds;0;1;0;1;0;0;geophony
2025-05-18T01_37_25.274Z;6174ecbe;spring;night;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-05-22T02_38_47.785Z;6174ecbe;spring;dawn;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-06-03T03_25_10.232Z;6174ecbe;spring;dawn;Scrubland;AWD;self-noise;wind;0;songbirds;0;1;0;1;0;0;biophony
2025-06-20T05_11_19.547Z;6174ecbe;spring;day;Scrubland;AWD;self-noise;wind;cars;songbirds;0;1;0;1;0;0;geophony
2025-06-23T03_28_58.268Z;6174ecbe;summer;dawn;Scrubland;AWD;self-noise;reed, wind;0;0;0;0;0;0;0;0;geophony
2025-06-25T15_20_29.117Z;6174ecbe;summer;day;Scrubland;AWD;self-noise;wind;cars;0;0;0;0;0;0;0;technophony
2025-07-01T22_23_51.719Z;6174ecbe;summer;dusk;Scrubland;AWD;self-noise;0;airplane;insects;0;0;0;0;1;0;biophony
2025-07-05T01_58_04.553Z;6174ecbe;summer;dawn;Scrubland;AWD;self-noise;wind;0;insect;0;0;0;0;1;0;geophony
2025-07-11T02_25_00.569Z;6174ecbe;summer;dawn;Scrubland;AWD;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-07-11T03_55_36.972Z;6174ecbe;summer;day;Scrubland;AWD;self-noise;0;0;songbirds;0;1;0;1;0;0;technophony
2025-07-12T20_43_16.703Z;6174ecbe;summer;dusk;Scrubland;AWD;self-noise;wind, reed;0;insects;0;0;0;0;1;0;geophony
2025-07-15T15_44_24.021Z;6174ecbe;summer;day;Scrubland;AWD;self-noise;wind;0;insects;0;0;0;0;1;0;geophony
2025-08-08T20_25_21.145Z;6174ecbe;summer;dusk;Scrubland;AWD;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-08-20T22_01_39.267Z;6174ecbe;summer;night;Scrubland;AWD;self-noise, high pitch;0;0;0;0;0;0;0;0;0;technophony
2025-08-23T22_29_34.088Z;6174ecbe;summer;night;Scrubland;AWD;self-noise, high pitch;0;0;gulls;1;0;0;1;0;0;technophony
2025-09-09T00_14_30.223Z;6174ecbe;summer;night;Scrubland;AWD;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-05-25T01_54_54.483Z;6174ecbe;spring;dawn;Scrubland;AWD;self-noise;wind, rain;0;0;0;0;0;0;0;0;geophony
2025-04-16T17_39_28.785Z;6174ecbe;spring;day;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;technophony
2025-04-11T19_00_26.703Z;6174ecbe;spring;dusk;Scrubland;AWD;self-noise;0;Airplane;songbird;0;1;0;1;0;0;technophony
2025-05-05T01_24_22.759Z;6174ecbe;spring;night;Scrubland;AWD;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-06-25T03_10_42.883Z;6174ecbe;summer;dawn;Scrubland;AWD;self-noise;wind;0;songbird;0;1;0;1;0;0;geophony
2025-07-26T06_15_50.829Z;6174ecbe;summer;day;Scrubland;AWD;self-noise;0;0;distant birdcall;0;0;1;1;0;0;technophony
2025-06-22T20_24_49.586Z;6174ecbe;summer;dusk;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-08-28T00_48_59.691Z;6174ecbe;summer;night;Scrubland;AWD;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-03-31T04_41_20.393Z;8f06b854;spring;dawn;Scrubland;AWD;self-noise;wind;0;songbirds;0;1;0;1;0;0;geophony
2025-04-06T03_00_44.467Z;8f06b854;spring;night;Scrubland;AWD;self-noise;wind;0;birdcall;0;0;1;1;0;0;geophony
2025-04-17T06_07_16.042Z;8f06b854;spring;day;Scrubland;AWD;self-noise;0;0;songbirds;0;1;0;1;0;0;biophony
2025-04-28T01_50_46.411Z;8f06b854;spring;night;Scrubland;AWD;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-05-01T23_48_20.963Z;8f06b854;spring;night;Scrubland;AWD;self-noise;0;0;songbirds;0;1;0;1;0;0;biophony
2025-05-10T03_02_30.051Z;8f06b854;spring;dawn;Scrubland;AWD;self-noise;wind;0;songbirds;0;1;0;1;0;0;biophony
2025-05-12T20_46_23.066Z;8f06b854;spring;dusk;Scrubland;AWD;self-noise;0;0;frogs;0;0;0;0;0;1;biophony
2025-05-31T04_30_32.323Z;8f06b854;spring;day;Scrubland;AWD;self-noise;0;0;songbirds;0;1;0;1;0;0;biophony
2025-06-04T02_43_10.804Z;8f06b854;spring;dawn;Scrubland;AWD;self-noise;wind, rain;0;songbirds;0;1;0;1;0;0;geophony
2025-06-12T22_12_37.824Z;8f06b854;spring;dusk;Scrubland;AWD;self-noise, high pitch;wind;0;0;0;0;0;0;0;0;technophony
2025-06-17T12_17_51.271Z;8f06b854;spring;day;Scrubland;AWD;self-noise, ticking;wind;0;songbird;0;1;0;1;0;0;geophony
2025-06-17T20_36_11.812Z;8f06b854;spring;dusk;Scrubland;AWD;self-noise, high pitch;0;0;0;0;0;0;0;0;0;technophony
2025-07-10T20_31_46.035Z;8f06b854;summer;dusk;Scrubland;AWD;self-noise;wind;0;insect;0;0;0;0;1;0;geophony
2025-07-12T20_08_18.717Z;8f06b854;summer;day;Scrubland;AWD;self-noise;wind;0;insect;0;0;0;0;1;0;biophony
